0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,994.6,1020.8,--,6.3,0.6,6.4,67,0.7,東,,,--,--,,,20.0
2,994.2,1020.4,--,6.0,0.8,6.5,69,0.4,東北東,,,--,--,,,20.0
3,994.1,1020.4,--,5.0,1.7,6.9,79,0.7,南西,,,--,--,,,20.0
4,993.6,1019.9,--,4.7,1.4,6.7,79,0.8,北北西,,,--,--,,,20.0
5,993.4,1019.7,--,4.3,0.6,6.4,77,1.0,南南西,,,--,--,,,20.0
6,993.6,1019.9,--,4.3,1.5,6.8,82,0.9,北東,0.2,,--,--,,,20.0
7,993.8,1020.0,--,5.8,1.2,6.6,72,1.0,西北西,1.0,,--,--,,,20.0
8,992.2,1018.1,--,8.7,2.3,7.2,64,0.5,東,1.0,,--,--,,,20.0
9,991.7,1017.2,--,12.0,4.0,8.1,58,1.4,北北西,1.0,,--,--,,,20.0
10,990.5,1015.5,--,16.8,6.3,9.6,50,2.4,東,1.0,,--,--,,,20.0
11,989.3,1014.1,--,18.7,7.2,10.1,47,2.2,北,1.0,,--,--,,,20.0
12,987.8,1012.4,--,20.6,6.2,9.5,39,1.6,北西,1.0,,--,--,,,20.0
13,986.6,1011.0,--,21.8,6.5,9.7,37,5.0,南,1.0,,--,--,,,20.0
14,985.6,1010.0,--,22.2,6.0,9.4,35,3.7,南,1.0,,--,--,,,20.0
15,984.9,1009.4,--,20.5,6.8,9.9,41,5.5,南,0.6,,--,--,,,20.0
16,985.3,1010.0,--,19.2,6.7,9.8,44,4.8,南南東,0.0,,--,--,,,20.0
17,985.7,1010.4,--,18.5,7.0,10.0,47,4.5,南南東,0.0,,--,--,,,20.0
18,985.9,1010.7,--,17.7,7.5,10.3,51,3.1,南南東,0.0,,--,--,,,20.0
19,986.3,1011.2,--,17.1,7.2,10.1,52,3.3,南南東,0.0,,--,--,,,20.0
20,986.1,1011.0,--,16.8,7.2,10.1,53,2.5,南東,,,--,--,,,20.0
21,986.4,1011.4,--,15.8,7.8,10.6,59,0.8,北東,,,--,--,,,20.0
22,986.5,1011.6,0.0,14.7,8.6,11.2,67,1.9,北,,,--,--,,,20.0
23,986.6,1011.9,1.0,13.1,11.0,13.1,87,1.6,北東,,,--,--,,,9.12
24,987.0,1012.3,2.5,12.8,12.0,14.0,95,0.6,東北東,,,--,--,,,5.07
