0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,988.6,1014.7,--,4.9,4.3,8.3,96,0.7,東南東,,,--,--,,,14.0
2,988.7,1014.9,--,4.3,4.0,8.1,98,1.1,東北東,,,--,--,,,10.8
3,988.8,1015.0,--,4.2,4.1,8.2,99,1.3,西南西,,,--,--,,,6.26
4,988.8,1015.1,--,3.5,3.1,7.6,97,1.1,東北東,,,--,--,,,8.6
5,988.9,1015.3,--,2.6,2.6,7.4,100,0.5,西南西,,,--,--,,,0.21
6,988.7,1015.0,--,3.0,3.0,7.6,100,0.9,北,0.0,,--,--,,,0.19
7,989.5,1015.8,0.0,3.6,3.6,7.9,100,1.0,北北西,0.0,,--,--,,,0.17
8,989.7,1015.8,0.0,5.3,5.3,8.9,100,0.6,東南東,0.3,,--,--,,,6.36
9,989.7,1015.5,0.0,8.4,5.7,9.1,83,1.4,北,1.0,,--,--,,,20.0
10,989.1,1014.4,--,13.4,6.3,9.5,62,0.9,北北西,1.0,,--,--,,,20.0
11,988.1,1013.1,--,16.8,6.3,9.6,50,1.3,北北東,1.0,,--,--,,,20.0
12,987.5,1012.3,--,18.8,4.6,8.5,39,1.2,東北東,1.0,,--,--,,,20.0
13,986.8,1011.3,--,21.7,-2.2,5.2,20,6.6,西北西,1.0,,--,--,,,20.0
14,986.3,1010.7,--,22.6,-0.8,5.8,21,4.8,西,1.0,,--,--,,,20.0
15,986.0,1010.4,--,22.2,-1.8,5.4,20,6.0,北西,1.0,,--,--,,,20.0
16,986.0,1010.5,--,20.8,-1.1,5.7,23,5.6,北北西,1.0,,--,--,,,20.0
17,986.9,1011.7,--,17.8,2.9,7.5,37,4.9,北北西,0.8,,--,--,,,20.0
18,987.2,1012.2,--,15.9,3.7,7.9,44,3.5,北,0.0,,--,--,,,20.0
19,987.7,1012.8,--,15.0,2.5,7.3,43,2.2,北東,0.0,,--,--,,,20.0
20,988.3,1013.7,--,12.4,5.1,8.8,61,1.1,南,,,--,--,,,20.0
21,988.4,1014.0,--,10.6,4.3,8.3,65,2.0,南南東,,,--,--,,,20.0
22,987.7,1013.4,--,9.6,4.4,8.4,70,1.8,北北西,,,--,--,,,20.0
23,987.7,1013.4,--,9.0,4.6,8.5,74,1.6,南西,,,--,--,,,20.0
24,987.4,1013.2,--,7.9,4.5,8.4,79,0.5,南南東,,,--,--,×,,20.0
