0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,993.1,1019.2,--,6.5,4.8,8.6,89,2.4,西北西,,,--,--,,,5.88
2,993.0,1019.3,--,4.8,3.9,8.1,94,1.4,南西,,,--,--,,,4.65
3,992.6,1019.0,--,3.9,3.3,7.8,96,1.0,南南東,,,--,--,,,3.88
4,992.5,1018.9,--,3.5,2.8,7.5,95,1.2,南南東,,,--,--,,,5.1
5,993.1,1019.6,--,2.6,2.2,7.1,97,1.1,南,,,--,--,,,4.88
6,993.6,1020.1,--,2.4,1.7,6.9,95,1.8,南南東,0.0,,--,--,,,5.43
7,994.1,1020.4,--,4.7,3.1,7.6,89,1.0,南,1.0,,--,--,,,7.17
8,994.1,1020.0,--,8.7,2.1,7.1,63,1.2,西南西,1.0,,--,--,,,13.7
9,994.3,1020.0,--,11.3,3.1,7.6,57,3.1,北北西,1.0,,--,--,,,13.2
10,994.1,1019.5,--,13.5,1.5,6.8,44,5.0,北西,1.0,,--,--,,,16.6
11,993.8,1019.1,--,15.0,-0.7,5.8,34,5.6,北西,1.0,,--,--,,,20.0
12,993.5,1018.8,--,15.1,-3.7,4.6,27,6.0,西北西,1.0,,--,--,,,20.0
13,992.8,1018.0,--,15.4,-3.5,4.7,27,5.3,北北西,1.0,,--,--,,,20.0
14,992.5,1017.6,--,17.1,-3.6,4.7,24,5.4,北北西,1.0,,--,--,,,20.0
15,992.2,1017.3,--,17.0,-4.8,4.3,22,3.9,西,1.0,,--,--,,,20.0
16,992.0,1017.1,--,16.3,-5.4,4.1,22,4.4,北西,1.0,,--,--,,,20.0
17,992.2,1017.4,--,15.8,-5.9,3.9,22,4.3,西北西,1.0,,--,--,,,20.0
18,992.7,1018.1,--,13.8,-5.9,3.9,25,1.7,北西,0.3,,--,--,,,20.0
19,993.1,1018.7,--,11.6,-5.4,4.1,30,1.8,北,,,--,--,,,20.0
20,993.7,1019.5,--,9.4,-1.3,5.5,47,1.0,南,,,--,--,,,20.0
21,994.0,1020.0,--,7.8,-1.4,5.5,52,1.0,南南東,,,--,--,,,20.0
22,993.8,1019.9,--,6.9,-1.0,5.7,57,0.7,南南東,,,--,--,,,20.0
23,994.0,1020.1,--,6.4,-1.5,5.5,57,1.2,西北西,,,--,--,,,20.0
24,994.3,1020.6,--,5.2,-1.0,5.7,64,0.9,西,,,--,--,,,20.0
