0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,995.4,1021.5,--,6.9,3.9,8.1,81,0.4,南南東,,,--,--,,,20.0
2,994.8,1020.9,--,7.0,4.0,8.1,81,0.6,西,,,--,--,,,20.0
3,994.4,1020.6,--,6.1,3.4,7.8,83,0.3,北西,,,--,--,,,20.0
4,993.3,1019.4,--,6.4,3.9,8.1,84,0.5,北北東,,,--,--,,,20.0
5,993.0,1019.1,--,7.0,4.0,8.1,81,0.2,静穏,,,--,--,,,20.0
6,993.2,1019.3,--,6.6,4.4,8.4,86,0.5,南南西,0.0,,--,--,,,18.8
7,992.7,1018.8,--,6.5,4.2,8.2,85,0.6,北東,0.0,,--,--,,,17.4
8,991.8,1017.8,0.0,7.1,5.1,8.8,87,1.4,南,0.0,,--,--,,,13.1
9,990.4,1016.3,1.5,7.5,6.0,9.3,90,1.0,北北西,0.0,,--,--,,,5.97
10,988.9,1014.8,2.0,7.0,6.0,9.3,93,1.1,北北西,0.0,,--,--,,,5.62
11,986.1,1011.9,3.5,7.4,7.0,10.0,97,0.5,北東,0.0,,--,--,,,2.99
12,983.4,1008.7,2.5,12.5,9.3,11.7,81,3.1,南東,0.0,,--,--,,,14.5
13,981.4,1006.6,1.5,12.7,9.0,11.5,78,5.7,東南東,0.0,,--,--,,,20.0
14,979.0,1004.1,1.5,13.5,9.6,11.9,77,4.0,東南東,0.0,,--,--,,,20.0
15,977.0,1002.0,1.5,13.3,10.7,12.8,84,4.4,東,0.0,,--,--,,,20.0
16,975.6,1000.7,1.5,11.9,11.1,13.2,95,0.8,南西,0.0,,--,--,,,20.0
17,974.1,999.1,0.5,12.3,11.5,13.6,95,1.3,南,0.0,,--,--,,,20.0
18,975.6,1000.7,0.0,12.3,11.8,13.9,97,1.2,北北東,0.0,,--,--,,,18.1
19,976.0,1001.1,2.0,12.1,11.8,13.8,98,1.0,南南東,0.0,,--,--,,,10.8
20,976.7,1001.8,0.5,12.0,11.9,13.9,99,1.2,北北西,,,--,--,,,6.65
21,977.2,1002.4,0.0,12.0,12.0,14.0,100,1.3,東南東,,,--,--,,,4.54
22,977.8,1002.9,0.0,12.8,12.2,14.2,96,2.0,東北東,,,--,--,,,14.2
23,979.0,1004.1,--,13.2,11.9,14.0,92,5.2,北北西,,,--,--,,,20.0
24,980.1,1005.3,--,12.2,10.6,12.8,90,4.3,北北西,,,--,--,,,20.0
