0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,999.1,1025.4,--,6.6,0.5,6.3,65,4.1,南東,,,--,--,,,20.0
2,998.8,1025.1,--,6.1,0.2,6.2,66,3.9,南東,,,--,--,,,20.0
3,999.1,1025.4,--,6.1,0.5,6.3,67,5.3,南東,,,--,--,,,20.0
4,998.9,1025.2,--,5.9,0.9,6.5,70,4.2,南東,,,--,--,,,20.0
5,999.6,1025.9,--,6.2,1.0,6.5,69,3.9,南南東,,,--,--,,,20.0
6,1000.0,1026.3,--,6.4,0.7,6.4,67,2.1,南南東,0.0,,--,--,,,20.0
7,1000.4,1026.6,--,7.7,1.1,6.6,63,1.4,南南東,0.9,,--,--,,,20.0
8,1000.2,1026.2,--,9.7,1.1,6.6,55,2.2,東南東,1.0,,--,--,,,20.0
9,1000.0,1025.8,--,11.0,1.5,6.8,52,4.6,東南東,1.0,,--,--,,,20.0
10,999.6,1025.3,--,12.6,1.3,6.7,46,5.2,東南東,1.0,,--,--,,,20.0
11,998.7,1024.2,--,14.5,2.4,7.3,44,4.7,東南東,1.0,,--,--,,,20.0
12,998.2,1023.6,--,14.7,2.3,7.2,43,5.7,東,1.0,,--,--,,,20.0
13,997.6,1023.0,--,15.0,2.2,7.2,42,7.4,東,1.0,,--,--,,,20.0
14,997.0,1022.4,--,14.9,3.1,7.6,45,7.3,東,1.0,,--,--,,,20.0
15,997.4,1022.8,--,14.4,3.8,8.0,49,7.6,東,1.0,,--,--,,,20.0
16,997.5,1023.0,--,13.3,4.7,8.6,56,7.2,東,1.0,,--,--,,,20.0
17,997.4,1023.1,--,12.1,4.6,8.5,60,5.9,東南東,1.0,,--,--,,,20.0
18,997.8,1023.6,--,11.0,4.9,8.7,66,6.4,東南東,0.3,,--,--,,,20.0
19,998.5,1024.4,--,10.4,5.4,9.0,71,4.7,東南東,0.0,,--,--,,,20.0
20,999.4,1025.3,--,10.4,5.6,9.1,72,5.4,東,,,--,--,,,20.0
21,999.4,1025.3,--,10.1,5.5,9.0,73,3.1,東,,,--,--,,,20.0
22,999.7,1025.8,--,8.8,5.2,8.8,78,1.6,西南西,,,--,--,,,20.0
23,999.9,1026.1,--,7.6,4.9,8.7,83,1.3,南西,,,--,--,,,20.0
24,999.8,1026.1,--,6.6,4.4,8.4,86,0.6,南西,,,--,--,,,20.0
