0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,993.8,1020.5,--,0.8,-3.3,4.8,74,3.3,西,,,--,--,,,20.0
2,993.5,1020.2,--,0.9,-3.6,4.7,72,3.0,西,,,--,--,,,20.0
3,993.5,1020.2,--,0.5,-3.6,4.7,74,2.1,西,,,--,--,,,20.0
4,993.3,1020.1,--,-0.6,-4.3,4.4,76,1.9,西,,,--,--,,,20.0
5,993.5,1020.3,--,-0.6,-4.3,4.4,76,1.6,北東,,,--,--,,,20.0
6,993.6,1020.5,--,-1.6,-3.9,4.6,84,0.6,北東,0.0,,--,--,,,20.0
7,993.8,1020.6,--,-0.4,-3.4,4.7,80,1.6,北,0.0,,--,--,,,20.0
8,994.0,1020.6,--,1.4,-2.5,5.1,75,2.3,北北西,0.4,,--,--,,,20.0
9,993.8,1020.3,--,3.0,-3.3,4.8,63,2.3,西北西,0.7,,--,--,,,20.0
10,993.8,1020.2,--,4.0,-4.2,4.5,55,3.1,北西,0.3,,--,--,,,20.0
11,993.5,1019.8,--,4.8,-4.2,4.5,52,3.9,北西,0.5,,--,--,,,20.0
12,992.7,1018.9,--,5.8,-4.1,4.5,49,3.8,西北西,0.7,,--,--,,,20.0
13,991.7,1017.8,--,6.7,-4.4,4.4,45,4.1,北西,0.8,,--,--,,,20.0
14,991.6,1017.8,0.0,5.1,-2.9,4.9,56,6.2,北西,0.7,,--,--,,,20.0
15,991.9,1018.2,0.0,4.6,-2.5,5.1,60,6.3,北西,0.4,,--,--,,,20.0
16,992.1,1018.3,0.0,4.9,-3.4,4.8,55,3.5,西北西,0.3,,--,--,,,20.0
17,992.9,1019.3,0.0,3.5,-2.0,5.3,67,4.2,北西,0.0,,--,--,,,20.0
18,993.5,1020.0,0.0,2.6,-1.6,5.5,74,2.4,北西,0.0,,--,--,,,20.0
19,994.1,1020.7,--,1.4,-1.3,5.5,82,2.4,北西,,,--,--,,,20.0
20,994.4,1021.1,--,1.0,-1.9,5.3,81,2.2,西,,,--,--,,,20.0
21,994.6,1021.3,--,1.4,-2.4,5.1,76,1.2,南西,,,--,--,,,20.0
22,994.9,1021.6,--,0.7,-2.2,5.2,81,1.7,北,,,--,--,,,20.0
23,995.3,1022.1,--,0.3,-2.4,5.1,82,2.2,北北東,,,--,--,,,20.0
24,995.5,1022.3,--,0.2,-2.3,5.1,83,2.2,北北東,,,--,--,,,20.0
