0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,992.6,1019.2,--,1.4,-0.2,6.0,89,0.3,南南東,,,--,--,,,20.0
2,992.8,1019.4,--,1.3,-0.3,6.0,89,1.1,北東,,,--,--,,,20.0
3,993.0,1019.6,--,1.5,-0.7,5.8,85,0.6,西,,,--,--,,,20.0
4,993.0,1019.6,--,1.3,-1.3,5.6,83,0.5,北東,,,--,--,,,20.0
5,993.4,1020.0,--,1.7,-2.1,5.3,76,2.5,西,,,--,--,,,20.0
6,993.8,1020.5,--,1.1,-2.5,5.1,77,3.8,西,,,--,--,,,20.0
7,994.3,1020.9,--,1.5,-2.6,5.0,74,3.1,西北西,0.0,,--,--,,,20.0
8,993.7,1020.2,--,2.8,-3.1,4.9,65,4.7,西北西,0.9,,--,--,,,20.0
9,993.7,1020.2,--,2.8,-2.5,5.1,68,4.0,西,0.2,,--,--,,,20.0
10,994.0,1020.5,--,3.1,-2.8,5.0,65,4.3,北西,0.0,,--,--,,,20.0
11,993.8,1020.2,--,3.3,-2.8,5.0,64,3.8,北西,0.0,,--,--,,,20.0
12,993.0,1019.4,--,3.5,-2.7,5.0,64,4.9,北北西,0.0,,--,--,,,20.0
13,992.4,1018.7,--,4.1,-2.5,5.1,62,5.1,北西,0.0,,--,--,,,20.0
14,992.0,1018.3,--,4.4,-2.9,4.9,59,5.4,北北西,0.1,,--,--,,,20.0
15,992.0,1018.2,--,4.8,-3.0,4.9,57,6.3,北西,1.0,,--,--,,,20.0
16,992.1,1018.4,--,4.0,-3.0,4.9,60,5.5,北西,0.9,,--,--,,,20.0
17,992.8,1019.2,--,3.3,-3.1,4.9,63,4.7,北西,0.5,,--,--,,,20.0
18,992.9,1019.4,--,2.1,-3.0,4.9,69,3.8,西北西,0.0,,--,--,,,20.0
19,993.2,1019.8,--,1.5,-2.8,5.0,73,3.0,西北西,,,--,--,,,20.0
20,993.3,1020.0,--,0.9,-2.7,5.0,77,2.1,西北西,,,--,--,,,20.0
21,993.8,1020.5,--,0.9,-2.5,5.1,78,1.6,西北西,,,--,--,,,20.0
22,993.9,1020.6,--,1.1,-2.6,5.0,76,2.3,西北西,,,--,--,,,20.0
23,994.0,1020.7,--,1.3,-3.0,4.9,73,3.8,西北西,,,--,--,,,20.0
24,994.1,1020.8,--,1.0,-3.1,4.9,74,3.5,西北西,,,--,--,,,20.0
