0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,994.0,1020.1,--,6.7,1.8,7.0,71,0.9,西南西,,,--,--,,,20.0
2,994.0,1020.2,--,5.8,1.7,6.9,75,1.3,西北西,,,--,--,,,20.0
3,993.5,1019.7,--,5.5,1.2,6.7,74,1.1,北,,,--,--,,,20.0
4,993.5,1019.8,--,4.2,0.7,6.4,78,1.7,北北西,,,--,--,,,20.0
5,993.7,1020.2,--,2.5,0.4,6.3,86,1.0,南西,,,--,--,,,20.0
6,994.1,1020.6,--,2.9,0.5,6.3,84,1.4,南東,0.0,,--,--,,,20.0
7,994.7,1021.1,--,4.3,1.2,6.6,80,0.3,北東,1.0,,--,--,,,20.0
8,994.9,1021.0,--,7.0,2.1,7.1,71,0.5,西南西,1.0,,--,--,,,20.0
9,995.0,1020.9,--,9.2,2.3,7.2,62,1.6,北北西,1.0,,--,--,,,20.0
10,994.7,1020.4,--,11.4,0.2,6.2,46,1.5,北西,1.0,,--,--,,,20.0
11,993.9,1019.3,--,13.4,0.1,6.1,40,2.2,北西,1.0,,--,--,,,20.0
12,992.9,1018.2,--,14.2,-2.7,5.0,31,2.1,北,1.0,,--,--,,,20.0
13,992.5,1017.7,--,15.5,-2.4,5.1,29,2.9,西北西,1.0,,--,--,,,20.0
14,992.2,1017.4,--,16.0,-2.0,5.3,29,4.2,西北西,0.7,,--,--,,,20.0
15,992.0,1017.2,--,15.3,-2.6,5.0,29,4.3,北北西,1.0,,--,--,,,20.0
16,992.3,1017.6,--,14.7,-3.1,4.9,29,5.8,西北西,1.0,,--,--,,,20.0
17,992.9,1018.3,--,13.3,-3.0,4.9,32,5.0,西北西,1.0,,--,--,,,20.0
18,993.6,1019.2,--,11.5,-3.0,4.9,36,2.8,西北西,0.7,,--,--,,,20.0
19,994.5,1020.4,--,9.1,-2.8,5.0,43,0.6,西,,,--,--,,,20.0
20,995.3,1021.2,--,8.8,-1.9,5.3,47,1.6,北北東,,,--,--,,,20.0
21,995.7,1021.8,--,7.3,-1.4,5.5,54,1.5,東,,,--,--,,,20.0
22,996.0,1022.3,--,5.7,-0.6,5.9,64,1.5,南東,,,--,--,,,20.0
23,996.5,1022.9,--,4.3,-0.1,6.1,73,0.6,西,,,--,--,,,20.0
24,996.7,1023.2,--,3.7,-0.7,5.8,73,0.6,南南東,,,--,--,,,20.0
