0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,994.4,1021.4,0.0,-2.2,-3.2,4.8,93,1.1,西南西,,,1,12,,,8.14
2,994.3,1021.3,0.0,-2.5,-3.0,4.9,96,1.2,南南西,,,--,12,,,14.8
3,993.8,1020.8,0.0,-1.9,-2.7,5.0,94,1.0,西南西,,,--,12,,,2.93
4,993.6,1020.6,0.0,-2.2,-2.7,5.0,96,1.1,南,,,--,12,,,12.9
5,994.0,1021.0,0.5,-1.9,-2.6,5.1,95,1.2,南西,,,--,12,,,18.1
6,994.3,1021.3,0.0,-1.8,-2.2,5.2,97,1.2,南南西,,,2,14,,,7.49
7,994.4,1021.4,0.0,-1.7,-2.4,5.1,95,1.5,南,0.0,,1,15,,,5.32
8,994.9,1021.8,0.0,-1.0,-2.1,5.2,92,1.1,南南東,0.0,,--,15,,,2.26
9,995.3,1022.2,0.5,-0.4,-2.1,5.2,88,0.4,南東,0.0,,--,14,,,4.71
10,995.1,1021.8,0.0,0.7,-1.7,5.4,84,0.5,東南東,0.0,,--,11,,,20.0
11,995.8,1022.4,0.0,2.0,-0.6,5.9,83,1.2,西,0.2,,--,9,,,9.76
12,995.7,1022.2,0.0,2.8,-2.3,5.2,69,4.6,北西,0.3,,--,6,,,20.0
13,994.9,1021.3,0.0,3.8,-2.6,5.1,63,4.2,北西,0.7,,--,4,,,20.0
14,994.9,1021.5,0.5,1.8,0.2,6.2,89,2.4,北西,0.1,,--,4,,,20.0
15,995.6,1022.3,0.5,1.0,0.2,6.2,94,2.4,北西,0.0,,--,4,,,1.71
16,995.8,1022.6,0.0,0.8,0.1,6.2,95,2.7,北西,0.0,,--,4,,,2.05
17,996.1,1022.8,0.0,1.5,-0.3,6.0,88,2.5,北西,0.0,,--,4,,,20.0
18,996.7,1023.5,0.0,0.8,0.4,6.3,97,1.6,北北東,0.0,,--,4,,,14.7
19,997.1,1023.9,0.5,0.7,0.3,6.2,97,1.1,東南東,,,--,4,,,4.45
20,997.1,1023.9,0.0,0.9,0.3,6.3,96,0.9,南,,,--,4,,,14.5
21,997.2,1024.0,0.0,0.6,0.2,6.2,97,0.2,静穏,,,--,4,,,3.92
22,997.1,1023.9,2.0,0.3,0.2,6.2,99,1.0,南東,,,2,6,,,1.37
23,996.6,1023.4,0.0,0.7,0.6,6.4,99,1.5,東北東,,,--,6,,,9.51
24,996.5,1023.3,0.0,0.2,-0.1,6.1,98,1.0,南南西,,,--,5,,,3.72
