0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,986.3,1012.7,--,2.1,1.8,7.0,98,0.7,北北西,,,--,--,,,4.87
2,986.0,1012.4,--,2.1,2.0,7.0,99,0.6,北西,,,--,--,,,5.59
3,986.0,1012.3,--,2.5,1.5,6.8,93,1.6,西北西,,,--,--,,,10.1
4,986.6,1012.9,0.0,2.8,0.4,6.3,84,3.8,西北西,,,--,--,,,6.34
5,987.4,1013.8,--,2.4,0.6,6.4,88,3.9,西北西,,,--,--,,,7.33
6,988.0,1014.5,--,1.2,0.1,6.1,92,1.3,北,0.0,,--,--,,,4.77
7,988.5,1014.9,--,2.7,-0.4,5.9,80,3.9,西北西,0.0,,--,--,,,8.03
8,989.0,1015.3,--,3.6,0.3,6.2,79,4.8,西北西,0.2,,--,--,,,10.7
9,989.5,1015.7,--,5.0,0.2,6.2,71,7.0,西北西,0.3,,--,--,,,17.0
10,990.3,1016.5,--,5.1,-1.1,5.6,64,6.5,西北西,0.8,,--,--,,,20.0
11,990.6,1016.7,--,5.7,-2.4,5.1,56,7.3,西北西,0.8,,--,--,,,20.0
12,990.8,1016.8,0.0,6.6,-2.5,5.1,52,8.4,西北西,0.5,,--,--,,,20.0
13,990.9,1017.1,--,5.2,-4.9,4.2,48,8.0,西北西,0.6,,--,--,,,20.0
14,991.7,1017.9,--,5.4,-5.0,4.2,47,8.7,西北西,0.1,,--,--,,,20.0
15,992.4,1018.6,--,5.5,-6.1,3.9,43,7.2,北西,0.0,,--,--,,,20.0
16,992.6,1018.8,--,5.5,-6.1,3.9,43,7.2,北西,0.5,,--,--,,,20.0
17,993.2,1019.5,--,4.4,-4.8,4.3,51,6.1,北西,0.2,,--,--,,,20.0
18,993.9,1020.3,--,3.5,-4.7,4.3,55,4.7,西北西,0.0,,--,--,,,20.0
19,994.4,1020.9,--,3.2,-4.2,4.5,58,2.9,北西,,,--,--,,,20.0
20,995.6,1022.1,--,3.3,-3.9,4.6,59,2.6,北西,,,--,--,,,20.0
21,996.1,1022.6,--,3.0,-4.9,4.2,56,3.2,西,,,--,--,,,20.0
22,996.7,1023.3,--,2.8,-5.1,4.2,56,2.2,西南西,,,--,--,,,20.0
23,997.1,1023.7,--,2.8,-4.6,4.3,58,1.7,南西,,,--,--,,,20.0
24,997.2,1023.8,--,2.8,-4.9,4.3,57,2.0,南西,,,--,--,,,20.0
