0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,1001.8,1028.5,--,2.7,0.0,6.1,82,2.5,北北西,,,--,--,,,13.2
2,1001.8,1028.6,--,1.6,-0.2,6.0,88,1.0,南東,,,--,--,,,10.2
3,1001.9,1028.8,--,0.6,-0.2,6.0,94,1.5,南南西,,,--,--,,,7.0
4,1002.1,1029.1,--,0.5,0.0,6.1,96,0.6,南南西,,,--,--,,,5.72
5,1002.5,1029.6,--,-0.4,-0.8,5.8,97,0.4,西南西,,,--,--,,,3.61
6,1003.0,1030.1,--,-0.5,-0.6,5.8,99,0.6,南西,,,--,--,,,3.6
7,1003.8,1030.8,--,0.1,-0.2,6.0,98,0.6,南西,0.0,,--,--,,,4.73
8,1004.5,1031.4,--,1.4,0.0,6.1,90,0.6,西北西,0.3,,--,--,,,6.35
9,1004.9,1031.7,--,3.2,0.6,6.4,83,0.8,北北西,1.0,,--,--,,,7.29
10,1004.8,1031.4,--,5.1,1.4,6.8,77,0.7,北東,1.0,,--,--,,,9.48
11,1004.7,1031.1,--,7.1,1.6,6.9,68,1.4,北北東,1.0,,--,--,,,10.6
12,1004.3,1030.5,--,8.7,1.4,6.7,60,1.8,北北西,1.0,,--,--,,,10.1
13,1003.7,1029.9,--,8.2,1.4,6.7,62,1.7,北北東,0.1,,--,--,,,10.5
14,1003.2,1029.3,--,9.4,1.6,6.8,58,0.8,西南西,0.0,,--,--,,,13.3
15,1003.4,1029.4,--,10.6,0.1,6.1,48,1.8,北,0.4,,--,--,,,15.5
16,1003.7,1029.7,--,10.7,-1.0,5.7,44,3.1,北西,1.0,,--,--,,,17.3
17,1004.2,1030.3,--,9.5,0.4,6.3,53,2.5,北西,0.8,,--,--,,,14.8
18,1004.9,1031.3,--,6.7,0.6,6.4,65,1.0,北北西,0.0,,--,--,,,12.8
19,1005.2,1031.7,--,5.4,1.3,6.7,75,1.3,南東,,,--,--,,,11.0
20,1005.7,1032.5,--,3.3,1.0,6.6,85,0.7,南,,,--,--,,,9.21
21,1006.0,1032.8,--,2.8,0.7,6.4,86,1.1,南南東,,,--,--,,,9.49
22,1006.5,1033.4,--,1.8,0.2,6.2,89,1.1,南西,,,--,--,,,7.68
23,1006.7,1033.7,--,0.8,-0.2,6.0,93,0.5,南南西,,,--,--,,,6.2
24,1006.7,1033.8,--,0.5,-0.5,5.9,93,0.5,東南東,,,--,--,,,6.87
