0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,981.3,1006.6,0.0,11.2,10.3,12.5,94,3.6,北,,,--,--,,,20.0
2,982.5,1007.9,0.0,10.8,9.2,11.7,90,3.3,北北西,,,--,--,,,20.0
3,983.6,1009.1,0.0,10.3,9.1,11.5,92,5.1,北西,,,--,--,,,11.5
4,984.9,1010.5,0.0,9.6,8.0,10.8,90,5.3,北西,,,--,--,,,16.4
5,985.6,1011.2,--,9.5,7.8,10.6,89,4.6,西北西,,,--,--,,,20.0
6,985.9,1011.5,--,9.8,7.9,10.7,88,3.5,西,0.0,,--,--,,,20.0
7,985.8,1011.3,--,10.3,8.1,10.8,86,3.8,西北西,0.0,,--,--,,,20.0
8,985.6,1011.1,--,11.1,7.8,10.6,80,5.6,西北西,0.0,,--,--,,,20.0
9,986.1,1011.4,--,13.1,7.6,10.4,69,4.7,西北西,0.7,,--,--,,,20.0
10,986.3,1011.6,--,12.8,7.9,10.6,72,4.8,北北西,0.2,,--,--,,,20.0
11,986.2,1011.4,--,13.5,6.6,9.7,63,5.4,北北西,0.1,,--,--,,,20.0
12,986.3,1011.6,--,12.9,6.7,9.8,66,6.1,北西,0.0,,--,--,,,20.0
13,986.2,1011.5,--,13.2,7.4,10.3,68,3.9,北北西,0.0,,--,--,,,20.0
14,986.1,1011.4,--,12.6,7.7,10.5,72,4.7,北,0.0,,--,--,,,20.0
15,985.8,1011.1,--,12.5,7.8,10.6,73,4.6,北,0.0,,--,--,,,20.0
16,986.2,1011.5,--,12.5,8.2,10.9,75,4.3,北,0.0,,--,--,,,20.0
17,986.5,1011.9,--,12.4,7.7,10.5,73,2.7,北,0.0,,--,--,,,20.0
18,986.9,1012.3,--,12.1,7.6,10.4,74,2.4,北北東,0.0,,--,--,,,20.0
19,987.3,1012.8,--,11.1,7.2,10.2,77,2.3,北北東,0.0,,--,--,,,20.0
20,988.4,1014.1,--,9.6,7.2,10.2,85,1.0,東,,,--,--,,,20.0
21,988.5,1014.3,--,8.6,6.9,9.9,89,1.7,南南東,,,--,--,,,20.0
22,988.5,1014.4,--,7.5,6.5,9.6,93,1.9,南,,,--,--,,,20.0
23,988.4,1014.4,--,6.5,5.5,9.0,93,1.6,南南東,,,--,--,,,20.0
24,988.7,1014.8,--,5.8,5.4,8.9,97,0.9,東,,,--,--,,,14.2
