0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,986.7,1012.6,--,7.0,1.3,6.7,67,3.9,北,,,--,--,,,20.0
2,987.3,1013.2,--,6.8,2.5,7.3,74,1.8,北東,,,--,--,,,20.0
3,987.7,1013.7,--,5.9,2.0,7.1,76,2.2,北,,,--,--,,,20.0
4,988.0,1014.1,--,5.2,2.0,7.1,80,1.2,北北東,,,--,--,,,20.0
5,988.9,1015.1,--,4.6,1.6,6.9,81,0.5,北北東,,,--,--,,,20.0
6,989.4,1015.7,--,3.7,2.1,7.1,89,0.9,東,0.0,,--,--,,,20.0
7,990.2,1016.3,--,6.0,1.5,6.8,73,0.7,南東,1.0,,--,--,,,20.0
8,990.1,1016.0,--,7.6,0.8,6.5,62,2.3,北東,1.0,,--,--,,,20.0
9,989.8,1015.5,--,9.6,-0.6,5.9,49,2.6,北北西,1.0,,--,--,,,20.0
10,989.2,1014.8,--,10.7,-4.9,4.2,33,2.3,北,1.0,,--,--,,,20.0
11,988.4,1013.7,--,13.3,0.7,6.4,42,2.5,北西,1.0,,--,--,,,20.0
12,987.1,1012.3,--,14.0,0.6,6.4,40,2.2,北北西,0.6,,--,--,,,20.0
13,986.3,1011.4,--,15.3,1.8,7.0,40,3.2,北北西,0.4,,--,--,,,20.0
14,986.0,1011.0,--,16.4,2.4,7.3,39,2.9,北,0.3,,--,--,,,20.0
15,985.7,1010.6,--,17.2,3.9,8.0,41,2.3,北北東,0.7,,--,--,,,20.0
16,986.1,1011.2,--,14.9,3.4,7.8,46,6.5,北西,0.3,,--,--,,,20.0
17,987.1,1012.3,--,14.0,2.9,7.5,47,6.2,北北西,0.6,,--,--,,,20.0
18,988.0,1013.5,--,11.8,3.3,7.8,56,4.3,北北西,0.8,,--,--,,,20.0
19,988.5,1014.2,--,9.9,3.6,7.9,65,2.8,北北西,0.0,,--,--,,,20.0
20,989.5,1015.3,--,9.0,3.6,7.9,69,2.3,北,,,--,--,,,20.0
21,990.2,1016.1,0.0,8.0,3.7,7.9,74,1.3,南南西,,,--,--,,,20.0
22,990.5,1016.5,--,6.4,3.4,7.8,81,1.4,南南東,,,--,--,,,20.0
23,990.6,1016.7,--,6.0,3.5,7.9,84,1.5,南南西,,,--,--,,,20.0
24,990.8,1017.0,--,5.1,3.3,7.7,88,1.3,南,,,--,--,,,20.0
