0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,995.8,1021.8,--,8.4,0.6,6.4,58,1.2,西北西,,,--,--,,,20.0
2,995.2,1021.3,--,7.6,1.5,6.8,65,1.0,南,,,--,--,,,20.0
3,995.5,1021.6,--,7.3,1.8,7.0,68,1.1,南,,,--,--,,,20.0
4,995.5,1021.8,--,5.2,1.9,7.0,79,0.7,南南西,,,--,--,,,20.0
5,995.7,1022.1,--,4.7,1.7,6.9,81,1.3,南南東,,,--,--,,,20.0
6,995.9,1022.3,--,3.9,1.1,6.6,82,0.8,東北東,0.0,,--,--,,,20.0
7,995.9,1022.2,--,5.4,1.9,7.0,78,0.8,北西,1.0,,--,--,,,20.0
8,995.5,1021.6,--,7.7,2.0,7.0,67,1.2,西北西,1.0,,--,--,,,20.0
9,994.9,1020.7,--,10.3,2.4,7.3,58,0.9,南南東,1.0,,--,--,,,20.0
10,994.1,1019.6,--,12.7,3.1,7.6,52,0.9,北東,1.0,,--,--,,,20.0
11,992.7,1017.9,--,15.2,2.4,7.3,42,2.0,北,1.0,,--,--,,,20.0
12,991.4,1016.4,--,17.3,0.5,6.3,32,2.0,北,1.0,,--,--,,,20.0
13,990.4,1015.2,--,18.8,-0.6,5.9,27,2.2,北東,1.0,,--,--,,,20.0
14,989.6,1014.4,--,18.6,-3.5,4.7,22,4.7,北北西,0.6,,--,--,,,20.0
15,989.1,1014.0,--,17.5,0.2,6.2,31,4.2,北西,0.6,,--,--,,,20.0
16,989.1,1014.1,--,16.4,3.1,7.6,41,7.2,北北西,0.2,,--,--,,,19.7
17,989.2,1014.3,--,15.8,4.2,8.3,46,4.5,北北西,0.6,,--,--,,,19.4
18,990.0,1015.4,--,13.1,6.2,9.5,63,4.2,北北西,0.1,,--,--,,,16.1
19,990.9,1016.5,--,11.0,8.4,11.0,84,4.6,北北東,,,--,--,,,18.7
20,992.0,1017.7,1.0,10.0,8.8,11.3,92,2.1,北北東,,,--,--,,,5.76
21,992.7,1018.5,1.5,9.5,8.1,10.8,91,0.9,西南西,,,--,--,,,19.5
22,993.3,1019.1,0.0,9.5,6.6,9.7,82,2.7,西北西,,,--,--,,,8.09
23,993.4,1019.4,0.0,7.9,6.4,9.6,90,1.5,西,,,--,--,,,7.49
24,993.4,1019.4,--,7.2,5.2,8.8,87,2.1,西北西,,,--,--,,,6.19
