0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,996.9,1023.5,--,2.5,-0.9,5.7,78,0.9,北西,,,--,--,,,20.0
2,997.1,1023.8,--,2.0,-1.4,5.5,78,0.8,南,,,--,--,,,20.0
3,997.3,1024.0,--,1.3,-1.9,5.3,79,0.8,南,,,--,--,,,20.0
4,997.7,1024.5,--,0.4,-2.0,5.3,84,0.9,北西,,,--,--,,,20.0
5,998.2,1025.1,--,0.4,-1.8,5.3,85,0.6,西北西,,,--,--,,,20.0
6,998.7,1025.6,--,0.1,-2.0,5.3,86,0.6,西北西,0.1,,--,--,,,20.0
7,999.5,1026.2,--,2.0,-1.3,5.6,79,0.7,北西,1.0,,--,--,,,20.0
8,999.4,1025.9,--,4.0,-1.0,5.7,70,0.6,北北西,1.0,,--,--,,,20.0
9,999.2,1025.4,--,7.3,-0.9,5.7,56,1.3,北北東,1.0,,--,--,,,20.0
10,998.6,1024.4,--,11.2,-0.6,5.9,44,1.2,北北東,1.0,,--,--,,,20.0
11,997.9,1023.5,--,13.1,-2.4,5.1,34,2.2,北北東,1.0,,--,--,,,20.0
12,996.8,1022.2,--,14.4,-2.1,5.2,32,2.4,北北東,1.0,,--,--,,,20.0
13,995.9,1021.2,--,15.5,-2.4,5.1,29,1.6,北,1.0,,--,--,,,20.0
14,995.3,1020.5,--,16.2,-3.3,4.8,26,2.4,北,0.8,,--,--,,,20.0
15,995.0,1020.1,--,17.0,-4.3,4.5,23,3.0,北西,1.0,,--,--,,,20.0
16,994.6,1019.7,--,17.0,-4.3,4.5,23,2.4,北西,1.0,,--,--,,,20.0
17,994.8,1020.0,--,16.4,-4.2,4.5,24,3.1,北西,1.0,,--,--,,,20.0
18,995.3,1020.7,--,14.4,-2.1,5.2,32,3.0,北,0.2,,--,--,,,20.0
19,996.0,1021.6,--,12.6,-0.3,6.0,41,3.2,東,,,--,--,,,19.1
20,996.5,1022.3,--,10.9,0.1,6.1,47,1.2,南南東,,,--,--,,,20.0
21,996.8,1022.6,--,10.3,0.6,6.4,51,0.7,東南東,,,--,--,,,20.0
22,996.9,1022.8,--,9.4,0.6,6.4,54,1.5,西南西,,,--,--,,,20.0
23,996.3,1022.2,--,9.3,0.7,6.4,55,1.0,南南西,,,--,--,,,20.0
24,996.3,1022.3,--,8.5,0.7,6.4,58,1.4,南西,,,--,--,,,20.0
