0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,992.4,1018.8,--,3.8,0.0,6.1,76,4.6,西,,,--,--,,,20.0
2,992.1,1018.5,--,3.6,-0.6,5.9,74,4.7,西,,,--,--,,,20.0
3,991.9,1018.3,--,3.1,-0.9,5.7,75,3.4,西,,,--,--,,,20.0
4,992.3,1018.8,--,2.5,-1.8,5.3,73,3.4,西南西,,,--,--,,,20.0
5,992.7,1019.2,--,2.6,-2.1,5.2,71,3.6,西,,,--,--,,,20.0
6,993.0,1019.5,--,2.6,-2.3,5.2,70,3.5,西南西,0.0,,--,--,×,,20.0
7,993.5,1019.9,--,3.9,-2.5,5.1,63,3.2,西南西,0.6,,--,--,,,20.0
8,993.6,1019.9,--,4.8,-2.5,5.1,59,2.5,西南西,0.6,,--,--,,,20.0
9,994.2,1020.5,--,4.9,-2.0,5.3,61,4.3,西北西,0.0,,--,--,,,20.0
10,994.4,1020.7,--,5.4,-1.5,5.5,61,4.5,西北西,0.0,,--,--,,,20.0
11,993.5,1019.6,--,6.8,-2.1,5.2,53,7.0,北西,0.5,,--,--,,,20.0
12,993.0,1018.9,--,8.6,-2.4,5.1,46,4.1,西北西,0.9,,--,--,,,20.0
13,992.7,1018.8,0.0,6.8,-2.9,4.9,50,5.7,西北西,0.5,,--,--,,,20.0
14,992.5,1018.4,--,8.5,-6.5,3.8,34,7.5,北西,0.7,,--,--,,,20.0
15,993.0,1019.1,--,6.9,-3.1,4.9,49,6.5,北西,0.2,,--,--,,,20.0
16,993.7,1020.0,--,5.0,-0.8,5.8,66,6.8,北西,0.2,,--,--,,,20.0
17,994.0,1020.3,--,4.9,-1.1,5.6,65,5.8,北西,0.3,,--,--,,,20.0
18,993.9,1020.2,--,4.5,-2.1,5.2,62,2.9,北西,0.1,,--,--,,,20.0
19,994.2,1020.5,--,4.7,-2.8,5.0,58,1.9,西北西,,,--,--,,,20.0
20,994.3,1020.6,--,4.4,-4.1,4.5,54,3.0,西,,,--,--,,,20.0
21,994.4,1020.8,--,4.4,-3.8,4.6,55,3.0,西,,,--,--,,,20.0
22,994.3,1020.6,--,4.4,-4.1,4.5,54,3.6,西南西,,,--,--,,,20.0
23,994.1,1020.6,--,3.1,-3.5,4.7,62,1.9,西南西,,,--,--,,,20.0
24,993.8,1020.3,--,2.5,-3.4,4.8,65,1.6,西南西,,,--,--,,,20.0
