0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,990.1,1016.0,--,8.3,8.2,10.8,99,0.6,北北東,,,--,--,,,1.54
2,990.3,1016.2,--,7.8,7.8,10.6,100,1.0,北北西,,,--,--,,,1.63
3,989.9,1015.8,--,7.6,7.6,10.4,100,0.6,北北東,,,--,--,,,0.41
4,989.8,1015.7,--,7.5,7.5,10.4,100,1.4,北,,,--,--,,,0.37
5,989.8,1015.8,0.0,7.1,7.1,10.1,100,1.5,北,,,--,--,,,0.33
6,989.9,1015.9,0.0,6.9,6.9,10.0,100,0.7,北北西,,,--,--,,,0.31
7,990.2,1016.2,0.0,6.8,6.8,9.9,100,1.8,北北西,0.0,,--,--,,,0.47
8,990.5,1016.5,0.0,7.0,7.0,10.0,100,1.4,北,0.0,,--,--,,,1.0
9,990.8,1016.7,--,7.7,7.7,10.5,100,1.0,北北西,0.0,,--,--,,,6.03
10,990.8,1016.7,--,8.1,7.7,10.5,97,0.8,北北西,0.0,,--,--,,,9.69
11,990.4,1016.2,--,8.6,7.7,10.5,94,0.9,北,0.0,,--,--,,,10.4
12,989.9,1015.7,--,9.2,7.8,10.6,91,1.2,北北東,0.0,,--,--,,,19.3
13,989.4,1015.0,--,10.4,8.3,11.0,87,2.9,北,0.0,,--,--,,,20.0
14,989.2,1014.8,--,10.8,8.4,11.0,85,3.0,北北西,0.0,,--,--,,,20.0
15,989.3,1014.9,--,11.0,7.7,10.5,80,4.4,北西,0.0,,--,--,,,18.0
16,990.0,1015.6,--,10.5,7.7,10.5,83,3.4,北北西,0.0,,--,--,,,15.6
17,990.4,1016.1,--,9.8,7.7,10.5,87,3.1,北北東,0.0,,--,--,,,20.0
18,990.6,1016.4,--,9.4,8.0,10.7,91,2.9,北,0.0,,--,--,,,17.9
19,991.0,1016.8,--,9.2,8.0,10.7,92,2.0,北北西,,,--,--,,,17.5
20,991.5,1017.3,--,9.0,7.6,10.4,91,3.2,北,,,--,--,,,20.0
21,991.7,1017.6,--,8.7,6.7,9.8,87,3.5,北西,,,--,--,,,20.0
22,992.1,1018.0,--,8.5,5.3,8.9,80,5.2,北西,,,--,--,,,20.0
23,991.8,1017.7,--,7.9,4.7,8.5,80,4.5,北北西,,,--,--,,,14.0
24,991.7,1017.8,--,6.7,4.5,8.4,86,5.0,北西,,,--,--,,,13.0
