0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,995.8,1022.6,--,0.1,-2.1,5.2,85,2.5,北東,,,--,--,,,20.0
2,995.9,1022.8,0.0,-0.4,-2.4,5.1,86,1.9,北北東,,,--,--,,,20.0
3,996.0,1022.9,0.0,-0.5,-2.4,5.1,87,1.4,北北東,,,--,--,,,20.0
4,996.2,1023.1,--,-0.9,-2.8,5.0,87,1.4,北北東,,,--,--,,,20.0
5,996.7,1023.7,--,-1.4,-2.8,5.0,90,0.8,北東,,,--,--,,,20.0
6,997.2,1024.2,0.0,-1.5,-2.8,5.0,91,0.9,西,0.0,,--,--,,,20.0
7,997.9,1024.9,0.0,-0.9,-2.3,5.2,90,0.5,南南西,0.4,,--,--,,,19.3
8,998.3,1025.1,0.0,0.9,-1.8,5.3,82,0.6,北東,1.0,,--,--,,,20.0
9,998.5,1025.3,0.0,1.5,-3.2,4.8,71,1.0,東北東,0.3,,--,--,,,20.0
10,998.5,1025.1,--,2.7,-4.3,4.5,60,1.8,北西,0.9,,--,--,,,20.0
11,998.1,1024.6,--,4.0,-5.7,4.0,49,2.5,北,0.6,,--,--,,,20.0
12,997.4,1023.8,--,5.2,-5.2,4.2,47,2.1,北北西,0.4,,--,--,,,20.0
13,996.8,1023.1,--,5.5,-5.2,4.2,46,1.4,北北西,0.5,,--,--,,,20.0
14,996.4,1022.6,--,6.5,-5.5,4.1,42,2.3,北北東,0.9,,--,--,,,20.0
15,996.4,1022.6,--,6.0,-5.3,4.1,44,2.4,北,0.3,,--,--,,,20.0
16,996.8,1023.1,--,6.0,-5.6,4.0,43,2.9,北西,0.0,,--,--,,,20.0
17,997.2,1023.5,--,5.3,-5.7,4.0,45,2.4,北北西,0.2,,--,--,,,20.0
18,998.0,1024.5,--,3.8,-4.2,4.5,56,3.1,西北西,0.3,,--,--,,,20.0
19,998.8,1025.4,--,3.2,-3.8,4.6,60,1.3,東,,,--,--,,,20.0
20,999.5,1026.1,--,3.2,-3.4,4.8,62,1.7,北,,,--,--,,,20.0
21,999.6,1026.2,--,3.3,-3.5,4.7,61,1.6,北東,,,--,--,,,20.0
22,999.7,1026.3,--,3.1,-3.5,4.7,62,1.1,東北東,,,--,--,,,20.0
23,1000.1,1026.7,--,3.1,-3.9,4.6,60,1.3,北北東,,,--,--,,,20.0
24,1000.1,1026.8,0.0,2.9,-3.2,4.8,64,0.8,東北東,,,--,--,,,20.0
