0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,986.9,1012.5,--,9.9,3.4,7.8,64,1.0,南西,,,--,--,,,20.0
2,986.3,1011.9,0.0,9.7,3.0,7.6,63,1.0,北,,,--,--,,,20.0
3,985.7,1011.4,0.0,8.9,3.9,8.1,71,0.3,西北西,,,--,--,,,20.0
4,984.9,1010.6,0.0,8.9,5.1,8.8,77,0.9,北東,,,--,--,,,20.0
5,984.5,1010.2,0.0,8.3,4.9,8.6,79,1.0,北,,,--,--,,,20.0
6,984.5,1010.3,0.5,7.6,5.6,9.1,87,0.6,北北東,0.0,,--,--,,,11.5
7,983.9,1009.7,0.5,7.5,6.0,9.3,90,1.3,北北西,0.0,,--,--,,,20.0
8,983.4,1009.2,0.0,7.5,6.0,9.3,90,0.5,北,0.0,,--,--,,,20.0
9,983.3,1009.0,0.0,8.5,6.3,9.5,86,0.9,北北東,0.0,,--,--,,,20.0
10,982.9,1008.5,0.0,9.4,6.1,9.4,80,0.7,西南西,0.0,,--,--,,,20.0
11,982.0,1007.4,0.0,10.8,7.3,10.2,79,1.7,北西,0.0,,--,--,,,20.0
12,981.4,1006.6,--,12.2,8.5,11.1,78,1.0,北北西,0.3,,--,--,,,20.0
13,980.9,1006.1,--,12.9,9.0,11.5,77,1.4,北北東,0.0,,--,--,,,20.0
14,980.3,1005.4,--,13.7,9.6,11.9,76,1.7,北,0.0,,--,--,,,20.0
15,980.6,1005.7,--,13.3,10.3,12.5,82,3.7,北,0.1,,--,--,,,19.0
16,980.9,1006.0,0.0,13.4,10.6,12.8,83,3.1,北北西,0.0,,--,--,,,20.0
17,981.2,1006.4,--,13.1,9.6,11.9,79,5.2,北西,0.0,,--,--,,,20.0
18,981.8,1007.1,--,12.2,9.0,11.5,81,4.4,北西,0.0,,--,--,,,20.0
19,982.4,1007.7,--,11.5,8.2,10.9,80,4.1,北西,,,--,--,,,20.0
20,983.4,1008.9,--,10.5,8.1,10.8,85,4.7,北西,,,--,--,,,20.0
21,984.0,1009.6,--,9.6,7.2,10.2,85,4.6,西北西,,,--,--,,,20.0
22,983.9,1009.5,--,9.2,6.8,9.9,85,5.3,西北西,,,--,--,,,20.0
23,984.2,1009.9,--,8.6,6.1,9.4,84,6.2,西北西,,,--,--,,,20.0
24,984.8,1010.6,--,7.7,5.2,8.8,84,4.0,西北西,,,--,--,,,20.0
