0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,992.5,1019.2,0.0,0.7,-1.2,5.6,87,1.5,北西,,,--,--,,,20.0
2,992.1,1018.8,0.0,0.4,-1.0,5.7,90,0.2,静穏,,,--,--,,,20.0
3,991.7,1018.4,0.0,0.0,-1.6,5.4,89,1.5,北北西,,,--,--,,,20.0
4,991.8,1018.5,0.0,-0.1,-1.2,5.6,92,0.6,西,,,1,1,,,20.0
5,992.0,1018.7,--,0.3,-1.6,5.4,87,0.7,東南東,,,--,1,,,20.0
6,992.4,1019.2,0.0,-0.2,-1.3,5.5,92,0.9,南,0.0,,--,1,,,20.0
7,992.5,1019.2,0.0,0.2,-1.5,5.5,88,2.3,北西,0.0,,--,1,,,9.92
8,992.7,1019.2,0.0,2.1,-1.5,5.5,77,3.3,北西,0.5,,--,--,,,20.0
9,993.1,1019.5,--,3.7,-2.7,5.0,63,4.2,西北西,0.4,,--,--,,,20.0
10,993.5,1019.7,0.0,5.3,-4.0,4.5,51,6.3,西北西,0.4,,--,--,,,20.0
11,993.8,1020.2,0.0,3.6,0.3,6.2,79,4.6,西,0.7,,--,--,,,20.0
12,993.6,1019.9,0.0,5.2,-2.8,5.0,56,6.6,西北西,1.0,,--,--,,,20.0
13,992.9,1019.0,--,6.5,-5.2,4.2,43,8.2,西北西,1.0,,--,--,,,20.0
14,993.2,1019.4,--,5.5,-2.1,5.2,58,7.1,北西,0.9,,--,--,,,20.0
15,993.4,1019.6,0.0,6.1,-3.3,4.8,51,7.2,西北西,0.8,,--,--,,,20.0
16,993.9,1020.2,--,4.5,-2.8,5.0,59,6.9,西北西,0.9,,--,--,,,20.0
17,994.4,1020.9,0.0,2.9,-0.7,5.8,77,3.6,西北西,0.1,,--,--,,,20.0
18,994.9,1021.4,0.0,2.6,-2.9,4.9,67,3.5,西北西,0.1,,--,--,,,20.0
19,995.2,1021.9,--,1.4,-2.7,5.0,74,0.8,西南西,,,--,--,,,20.0
20,995.7,1022.4,--,1.2,-2.9,4.9,74,0.7,西北西,,,--,--,,,20.0
21,996.1,1022.8,--,1.0,-2.7,5.0,76,0.7,東北東,,,--,--,,,20.0
22,996.2,1022.9,--,1.7,-3.8,4.6,67,1.1,西北西,,,--,--,,,20.0
23,995.9,1022.7,--,0.6,-3.3,4.8,75,2.1,北,,,--,--,,,20.0
24,996.1,1023.0,--,-0.1,-3.3,4.8,79,0.7,南南西,,,--,--,,,20.0
