0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,997.2,1023.7,--,3.8,1.4,6.7,84,0.9,東北東,,,--,--,,,20.0
2,997.4,1024.0,--,2.4,0.6,6.4,88,1.1,南,,,--,--,,,20.0
3,997.6,1024.3,--,1.7,0.1,6.1,89,1.3,南西,,,--,--,,,20.0
4,997.6,1024.4,--,1.1,-0.2,6.0,91,0.6,東南東,,,--,--,,,20.0
5,998.2,1025.0,--,1.4,0.0,6.1,90,0.6,北,,,--,--,,,20.0
6,998.8,1025.5,--,1.7,0.1,6.1,89,0.7,西南西,0.4,,--,--,,,20.0
7,998.9,1025.5,--,3.3,0.4,6.3,81,0.3,西,1.0,,--,--,,,20.0
8,998.2,1024.5,--,5.5,0.9,6.5,72,1.2,北北西,1.0,,--,--,,,20.0
9,997.8,1023.9,--,8.0,1.2,6.7,62,1.3,北西,1.0,,--,--,,,20.0
10,997.1,1022.8,--,11.2,3.7,8.0,60,0.8,北東,1.0,,--,--,,,20.0
11,996.1,1021.6,--,13.3,3.4,7.8,51,2.0,北西,1.0,,--,--,,,20.0
12,994.6,1019.8,--,16.6,4.0,8.1,43,0.9,北西,1.0,,--,--,,,20.0
13,993.7,1018.7,--,17.9,3.8,8.0,39,1.3,北,0.7,,--,--,,,20.0
14,993.1,1017.9,--,20.1,0.5,6.4,27,2.1,北東,0.8,,--,--,,,20.0
15,992.3,1017.1,--,20.0,1.4,6.8,29,2.3,南東,0.3,,--,--,,,20.0
16,991.9,1016.6,--,20.3,2.2,7.1,30,1.9,東,0.9,,--,--,,,20.0
17,991.8,1016.6,--,19.5,5.9,9.3,41,4.1,東南東,0.8,,--,--,,,20.0
18,992.3,1017.3,--,17.7,6.6,9.7,48,2.0,南南東,0.0,,--,--,,,20.0
19,992.7,1017.8,--,16.2,6.9,9.9,54,2.4,東南東,0.0,,--,--,,,20.0
20,992.9,1018.2,--,15.0,7.3,10.2,60,3.0,東,,,--,--,,,20.0
21,993.1,1018.5,--,13.7,7.5,10.3,66,0.5,北西,,,--,--,,,20.0
22,992.3,1017.7,--,13.4,7.6,10.5,68,1.4,東,,,--,--,,,20.0
23,991.9,1017.5,--,11.1,7.0,10.0,76,2.0,西南西,,,--,--,,,20.0
24,990.8,1016.5,--,10.2,6.9,10.0,80,0.7,西北西,,,--,--,,,20.0
