0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,987.5,1013.4,--,7.5,4.5,8.4,81,1.7,南南西,,,--,--,,,20.0
2,987.1,1013.1,--,6.5,3.7,7.9,82,0.5,北西,,,--,--,,,20.0
3,987.0,1013.0,--,5.9,3.4,7.8,84,1.7,北北東,,,--,--,,,20.0
4,986.9,1013.0,--,5.0,3.4,7.8,89,0.7,西,,,--,--,,,20.0
5,986.8,1013.0,--,4.3,3.0,7.6,91,0.7,南南西,,,--,--,,,20.0
6,987.1,1013.2,--,4.8,3.0,7.6,88,0.6,西,0.0,,--,--,,,20.0
7,986.8,1012.7,--,6.8,3.6,7.9,80,0.6,西北西,0.8,,--,--,,,15.5
8,986.5,1012.3,--,8.3,4.3,8.3,76,0.4,西北西,1.0,,--,--,,,20.0
9,986.3,1011.8,--,11.2,5.1,8.8,66,0.9,北,1.0,,--,--,,,20.0
10,985.9,1011.0,--,15.0,4.7,8.5,50,1.0,北北東,1.0,,--,--,,,20.0
11,985.2,1010.0,--,18.2,5.1,8.8,42,2.5,北北西,1.0,,--,--,,,20.0
12,984.1,1008.7,--,20.1,5.4,8.9,38,1.6,西,0.8,,--,--,,,20.0
13,983.1,1007.5,--,21.0,3.7,8.0,32,4.0,北西,0.0,,--,--,,,15.3
14,982.9,1007.4,--,20.8,2.6,7.4,30,5.1,西北西,0.0,,--,--,,,16.7
15,982.8,1007.4,--,19.2,7.0,10.0,45,6.4,北西,0.0,,--,--,,,17.5
16,983.0,1007.7,--,17.8,7.8,10.6,52,5.9,北北西,0.0,,--,--,,,14.2
17,983.4,1008.3,--,16.5,9.0,11.5,61,4.6,北北西,0.0,,--,--,,,10.9
18,983.8,1008.9,--,14.8,8.3,10.9,65,3.6,北北西,0.0,,--,--,,,10.1
19,983.9,1009.1,--,13.2,8.3,10.9,72,3.3,北,0.0,,--,--,,,9.69
20,984.4,1009.7,--,12.4,7.1,10.1,70,1.9,北西,,,--,--,,,11.0
21,984.6,1010.0,--,11.4,6.7,9.8,73,1.7,北北西,,,--,--,,,11.7
22,984.3,1009.8,--,10.3,5.9,9.3,74,2.0,北北東,,,--,--,,,13.8
23,983.7,1009.2,--,9.7,5.5,9.0,75,2.1,北北西,,,--,--,,,15.8
24,983.5,1009.1,--,9.5,5.3,8.9,75,2.5,北東,,,--,--,×,,16.3
