0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,997.5,1024.1,--,2.8,-4.4,4.4,59,1.5,西,,,--,--,,,20.0
2,997.7,1024.4,--,2.3,-5.1,4.2,58,2.6,西南西,,,--,--,,,20.0
3,997.2,1024.0,--,0.6,-4.4,4.4,69,1.4,西,,,--,--,,,20.0
4,997.6,1024.5,--,-0.2,-4.6,4.3,72,1.3,南南西,,,--,--,,,20.0
5,998.0,1025.0,--,-1.0,-4.5,4.4,77,0.4,南南西,,,--,--,,,20.0
6,998.7,1025.8,--,-1.8,-4.1,4.5,84,0.8,南,0.0,,--,--,,,20.0
7,999.2,1026.1,--,0.2,-3.2,4.8,78,0.7,南南西,0.7,,--,--,,,20.0
8,999.2,1025.9,--,1.9,-4.2,4.5,64,0.5,北,1.0,,--,--,,,20.0
9,999.0,1025.6,--,3.2,-4.0,4.5,59,0.6,北北東,0.8,,--,--,,,20.0
10,998.3,1024.7,--,5.2,-4.1,4.5,51,0.9,西南西,0.9,,--,--,,,20.0
11,997.7,1024.0,--,5.4,-3.6,4.7,52,0.7,北西,0.0,,--,--,,,20.0
12,996.5,1022.6,--,7.3,-2.4,5.1,50,0.5,北東,0.4,,--,--,,,20.0
13,995.2,1021.1,--,9.2,-1.5,5.5,47,2.0,北北西,0.4,,--,--,,,20.0
14,994.4,1020.2,--,10.4,-1.9,5.3,42,1.8,北西,0.8,,--,--,,,20.0
15,994.0,1019.6,--,11.4,-2.0,5.3,39,1.4,西北西,0.9,,--,--,,,20.0
16,994.1,1019.8,--,11.0,-2.4,5.1,39,1.6,北西,0.0,,--,--,,,20.0
17,994.2,1020.0,--,10.4,-2.6,5.0,40,1.1,西,0.0,,--,--,,,20.0
18,994.7,1020.6,--,8.9,-1.5,5.5,48,0.2,静穏,0.0,,--,--,,,20.0
19,995.2,1021.3,--,7.6,1.7,6.9,66,1.3,南東,,,--,--,,,20.0
20,995.6,1021.9,--,5.4,1.2,6.6,74,0.8,南南西,,,--,--,,,20.0
21,995.7,1022.1,--,4.1,1.0,6.6,80,1.1,南南西,,,--,--,,,20.0
22,995.9,1022.4,--,3.1,0.5,6.3,83,0.4,南東,,,--,--,,,20.0
23,996.0,1022.6,--,2.4,0.2,6.2,85,0.9,南南東,,,--,--,,,20.0
24,996.3,1022.9,--,2.1,0.0,6.1,86,1.0,南東,,,--,--,,,20.0
