0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,993.8,1020.5,--,0.9,-3.4,4.8,73,1.9,南南西,,,--,--,,,20.0
2,993.3,1020.0,--,0.5,-3.2,4.8,76,1.7,南,,,--,--,,,20.0
3,992.9,1019.5,--,1.1,-3.0,4.9,74,0.7,南南東,,,--,--,,,20.0
4,992.5,1019.1,--,1.5,-2.6,5.0,74,0.8,南,,,--,--,,,20.0
5,992.4,1019.0,--,1.6,-1.8,5.4,78,0.6,東,,,--,--,,,20.0
6,992.4,1018.9,--,2.2,-2.1,5.2,73,0.8,北,0.0,,--,--,,,20.0
7,992.8,1019.2,--,3.6,-2.6,5.1,64,0.7,北東,0.0,,--,--,,,20.0
8,992.6,1018.8,--,5.0,-2.6,5.1,58,1.4,北東,0.3,,--,--,,,20.0
9,992.3,1018.3,--,7.1,-3.2,4.8,48,1.8,北北東,1.0,,--,--,,,20.0
10,991.3,1017.1,--,9.4,-3.8,4.6,39,2.6,北東,1.0,,--,--,,,20.0
11,990.4,1016.1,--,9.8,-4.9,4.2,35,2.4,北北西,1.0,,--,--,,,20.0
12,989.5,1015.2,--,10.0,-4.7,4.3,35,3.0,北北東,1.0,,--,--,,,20.0
13,988.1,1013.5,--,12.6,-2.8,5.0,34,2.5,東,1.0,,--,--,,,20.0
14,987.2,1012.5,--,13.5,-6.1,3.9,25,3.2,北北西,1.0,,--,--,,,20.0
15,986.9,1012.1,--,14.3,-7.7,3.4,21,5.4,北北西,1.0,,--,--,,,20.0
16,986.9,1012.1,--,13.9,-10.0,2.9,18,5.6,西北西,1.0,,--,--,,,20.0
17,986.6,1011.9,--,12.6,-9.7,2.9,20,4.1,西北西,1.0,,--,--,,,20.0
18,986.7,1012.2,--,10.7,-6.6,3.7,29,3.1,西,0.4,,--,--,,,20.0
19,987.3,1013.0,--,8.8,-5.8,4.0,35,2.0,北,,,--,--,,,20.0
20,987.2,1013.0,--,7.6,-5.8,4.0,38,0.4,北東,,,--,--,,,20.0
21,987.2,1013.1,--,7.5,-4.3,4.5,43,1.8,南,,,--,--,,,20.0
22,986.9,1012.8,--,7.4,-3.2,4.8,47,1.8,南西,,,--,--,,,20.0
23,986.6,1012.4,--,7.8,0.1,6.1,58,2.2,南西,,,--,--,,,17.3
24,986.0,1011.8,--,7.7,0.2,6.2,59,1.3,南,,,--,--,,,14.3
