0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,982.6,1007.9,0.0,12.2,8.5,11.1,78,3.3,北,,,--,--,,,16.5
2,983.2,1008.6,0.0,11.1,5.4,9.0,68,5.5,北北西,,,--,--,,,20.0
3,983.4,1008.9,--,10.3,4.5,8.4,67,4.4,北西,,,--,--,,,20.0
4,983.5,1009.1,--,9.6,4.0,8.1,68,5.0,北北西,,,--,--,,,20.0
5,984.3,1009.9,0.0,9.5,3.9,8.1,68,6.8,北西,,,--,--,,,20.0
6,985.2,1010.9,0.0,8.8,4.2,8.3,73,5.9,北西,0.0,,--,--,,,20.0
7,987.1,1012.9,0.0,8.0,4.8,8.6,80,8.2,北西,0.0,,--,--,,,18.0
8,988.1,1013.9,0.5,8.1,4.0,8.1,75,5.1,西北西,0.1,,--,--,,,20.0
9,989.4,1015.2,0.0,8.3,3.6,7.9,72,8.3,西北西,0.3,,--,--,,,20.0
10,990.9,1016.8,0.0,7.8,4.2,8.3,78,10.6,西北西,0.4,,--,--,,,20.0
11,991.7,1017.5,0.0,8.8,4.4,8.4,74,7.7,西北西,0.8,,--,--,,,20.0
12,991.9,1017.7,0.0,9.1,4.9,8.7,75,6.5,西,0.3,,--,--,,,20.0
13,992.5,1018.3,0.0,9.1,3.7,8.0,69,8.0,西北西,0.6,,--,--,,,20.0
14,992.8,1018.6,0.0,10.0,3.7,8.0,65,9.0,北西,0.7,,--,--,,,20.0
15,993.0,1018.8,--,9.4,2.5,7.3,62,8.4,西北西,0.8,,--,--,,,20.0
16,993.5,1019.4,--,9.2,3.0,7.6,65,5.9,西北西,0.2,,--,--,,,20.0
17,994.7,1020.6,--,8.8,2.4,7.2,64,6.0,北西,0.0,,--,--,,,20.0
18,995.3,1021.3,--,8.1,2.1,7.1,66,4.6,北西,0.0,,--,--,,,20.0
19,995.9,1022.0,--,7.1,2.0,7.1,70,3.1,北西,0.0,,--,--,,,20.0
20,996.5,1022.7,--,6.6,1.9,7.0,72,2.7,北西,,,--,--,,,20.0
21,996.3,1022.5,--,6.6,1.1,6.6,68,4.5,西北西,,,--,--,,,20.0
22,996.7,1023.1,--,5.0,1.3,6.7,77,0.8,東,,,--,--,,,20.0
23,997.5,1023.9,--,5.2,1.0,6.5,74,0.9,北北西,,,--,--,,,20.0
24,997.2,1023.6,--,4.6,1.1,6.6,78,1.9,東北東,,,--,--,,,20.0
