0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,983.6,1009.2,--,8.9,4.3,8.3,73,2.1,北東,,,--,--,,,19.2
2,983.8,1009.6,--,7.5,2.2,7.2,69,2.9,北,,,--,--,,,20.0
3,985.0,1010.9,0.0,6.1,-1.5,5.5,58,6.0,西北西,,,--,--,,,20.0
4,986.2,1012.3,--,5.1,-1.6,5.4,62,5.5,西,,,--,--,,,20.0
5,987.6,1013.8,0.0,4.4,0.0,6.1,73,4.6,西北西,,,--,--,,,20.0
6,988.3,1014.6,0.0,3.8,0.7,6.4,80,3.1,西北西,0.0,,--,--,,,20.0
7,988.5,1014.7,0.0,4.2,-0.2,6.0,73,5.6,西北西,0.1,,--,--,,,20.0
8,988.7,1014.9,--,4.4,0.4,6.3,75,4.9,西北西,0.0,,--,--,,,20.0
9,989.0,1015.2,0.0,4.3,0.1,6.1,74,8.3,西北西,0.0,,--,--,,,20.0
10,989.6,1015.8,0.0,4.5,-0.9,5.7,68,6.2,西北西,0.5,,--,--,,,20.0
11,989.3,1015.4,--,5.6,-0.9,5.7,63,7.5,西北西,0.1,,--,--,,,20.0
12,989.5,1015.6,0.0,5.7,-0.1,6.0,66,7.8,西北西,0.1,,--,--,,,20.0
13,989.6,1015.5,0.0,7.2,-1.7,5.4,53,8.3,西北西,0.7,,--,--,,,20.0
14,990.1,1016.1,0.0,6.6,-5.7,4.0,41,9.3,西北西,0.5,,--,--,,,20.0
15,990.1,1016.2,--,6.1,-7.1,3.6,38,8.8,北西,0.7,,--,--,,,20.0
16,991.0,1017.2,0.0,5.1,-2.9,4.9,56,7.4,北西,0.7,,--,--,,,20.0
17,992.0,1018.4,0.0,3.5,-1.6,5.4,69,4.5,北西,0.2,,--,--,,,20.0
18,992.4,1018.9,0.0,2.8,-0.8,5.8,77,4.7,北西,0.0,,--,--,,,20.0
19,993.4,1020.0,0.0,1.6,-0.3,6.0,87,3.9,西北西,0.0,,--,--,,,20.0
20,994.2,1020.8,0.0,1.9,-0.3,6.0,85,3.4,西南西,,,--,--,,,20.0
21,995.7,1022.4,0.5,1.0,0.3,6.2,95,2.6,北西,,,--,--,,,12.7
22,996.0,1022.7,0.0,0.9,0.1,6.1,94,1.7,北北東,,,--,--,,,4.34
23,997.0,1023.8,0.5,0.5,0.2,6.2,98,1.4,北北西,,,1,1,,,1.2
24,997.0,1023.8,0.5,0.3,-0.4,5.9,95,1.4,西,,,1,2,×,,12.6
