0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,986.0,1011.6,--,9.8,0.2,6.2,51,6.5,西,,,--,--,,,14.1
2,986.4,1012.2,0.0,7.5,3.6,7.9,76,2.6,西北西,,,--,--,,,20.0
3,987.1,1013.0,0.5,6.7,4.5,8.4,86,4.3,北北西,,,--,--,,,8.33
4,987.9,1013.9,0.5,5.9,4.2,8.3,89,3.4,北西,,,--,--,,,11.0
5,988.7,1014.8,0.0,5.5,3.0,7.6,84,4.1,北西,,,--,--,,,14.8
6,989.5,1015.7,0.0,4.4,1.4,6.8,81,3.4,北西,0.0,,--,--,,,20.0
7,990.2,1016.4,--,4.5,0.7,6.4,76,3.1,北北西,0.1,,--,--,,,20.0
8,990.7,1016.8,--,5.6,-1.5,5.5,60,4.0,北西,0.4,,--,--,,,20.0
9,990.7,1016.8,--,6.4,-2.5,5.1,53,5.1,北西,0.5,,--,--,,,20.0
10,990.5,1016.4,--,7.6,-2.4,5.1,49,4.2,北西,0.1,,--,--,,,20.0
11,990.3,1016.1,--,8.6,-2.6,5.0,45,5.0,北西,0.2,,--,--,,,20.0
12,990.0,1015.7,--,9.4,-2.8,5.0,42,6.0,北西,0.6,,--,--,,,20.0
13,989.8,1015.5,--,9.7,-1.6,5.4,45,7.0,北西,0.9,,--,--,,,20.0
14,989.7,1015.5,--,8.7,-2.6,5.1,45,5.9,西,0.4,,--,--,,,20.0
15,989.4,1015.2,--,8.7,-3.2,4.8,43,4.6,西,0.0,,--,--,,,20.0
16,989.8,1015.6,--,8.5,-2.4,5.1,46,4.3,西,0.0,,--,--,,,20.0
17,990.3,1016.3,--,7.1,-2.3,5.1,51,5.9,北西,0.0,,--,--,,,20.0
18,991.3,1017.5,--,5.6,-1.5,5.5,60,4.8,西北西,0.0,,--,--,,,20.0
19,991.9,1018.2,--,4.7,-0.7,5.8,68,4.6,西,,,--,--,,,20.0
20,992.1,1018.4,--,4.5,-0.9,5.7,68,4.6,西,,,--,--,,,20.0
21,992.4,1018.7,--,4.1,-0.5,5.9,72,4.2,西,,,--,--,,,20.0
22,992.9,1019.3,--,3.9,-0.5,5.9,73,3.8,西,,,--,--,,,20.0
23,992.8,1019.2,--,3.7,-0.5,5.9,74,3.3,西,,,--,--,,,20.0
24,992.3,1018.7,--,3.2,-0.6,5.8,76,3.3,西,,,--,--,,,20.0
