0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,989.6,1015.3,--,10.1,7.0,10.0,81,1.5,南,,,--,--,,,20.0
2,988.6,1014.2,--,10.7,7.4,10.3,80,1.4,南東,,,--,--,,,20.0
3,987.5,1013.2,--,9.5,7.3,10.2,86,1.1,西,,,--,--,,,20.0
4,986.4,1012.0,--,10.0,7.6,10.4,85,2.1,南南東,,,--,--,,,20.0
5,984.9,1010.4,--,10.5,7.6,10.4,82,2.2,南東,,,--,--,,,20.0
6,984.2,1009.6,--,11.4,7.7,10.5,78,1.7,南東,0.0,,--,--,,,20.0
7,982.6,1007.5,0.0,16.1,7.9,10.6,58,3.9,東南東,0.0,,--,--,,,20.0
8,981.3,1006.2,0.0,16.1,8.1,10.8,59,1.9,南東,0.0,,--,--,,,20.0
9,980.4,1005.1,0.0,17.6,7.9,10.7,53,4.0,南南東,0.0,,--,--,,,20.0
10,978.1,1002.8,0.0,17.5,8.9,11.4,57,3.4,東南東,0.0,,--,--,,,20.0
11,975.9,1000.5,0.0,17.7,9.9,12.2,60,4.4,南東,0.0,,--,--,,,20.0
12,975.4,999.8,0.0,19.3,9.8,12.1,54,2.9,南東,0.0,,--,--,,,20.0
13,972.9,997.1,--,20.8,10.0,12.3,50,6.2,南,0.2,,--,--,,,20.0
14,971.6,995.5,--,23.8,11.2,13.3,45,4.4,南,1.0,,--,--,,,20.0
15,971.7,995.7,0.5,22.6,13.4,15.4,56,6.8,西南西,0.6,,--,--,,,20.0
16,975.1,999.5,0.0,19.6,10.1,12.3,54,8.2,北西,0.7,,--,--,,,20.0
17,977.4,1001.9,--,18.4,8.1,10.8,51,8.6,西北西,0.7,,--,--,,,20.0
18,979.1,1003.8,--,17.0,7.6,10.5,54,7.3,西北西,0.2,,--,--,,,20.0
19,980.7,1005.7,--,15.0,8.3,10.9,64,3.9,北西,0.0,,--,--,,,20.0
20,981.6,1006.7,--,14.2,8.0,10.7,66,3.4,北西,,,--,--,,,19.1
21,982.5,1007.6,--,13.7,7.9,10.7,68,1.9,北西,,,--,--,,,18.5
22,983.6,1008.7,--,14.7,6.8,9.9,59,3.8,西北西,,,--,--,,,20.0
23,984.1,1009.2,--,14.2,5.6,9.1,56,4.0,西,,,--,--,,,20.0
24,984.4,1009.6,--,13.4,4.8,8.6,56,0.9,北北西,,,--,--,,,20.0
