0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,986.2,1011.6,2.5,12.1,11.5,13.6,96,0.8,北西,,,--,--,,,5.03
2,985.7,1011.1,2.5,11.4,11.3,13.3,99,0.0,静穏,,,--,--,,,2.64
3,985.2,1010.6,3.5,11.4,11.3,13.3,99,0.0,静穏,,,--,--,,,2.42
4,984.1,1009.5,4.0,11.4,11.3,13.3,99,1.6,南西,,,--,--,,,3.85
5,983.2,1008.6,0.0,11.3,11.2,13.3,99,1.6,北,,,--,--,,,4.86
6,983.1,1008.5,0.5,11.2,11.2,13.3,100,1.7,北北西,0.0,,--,--,,,2.91
7,982.8,1008.2,0.0,11.4,11.1,13.2,98,1.2,西南西,0.0,,--,--,,,4.26
8,982.5,1007.8,--,12.2,11.3,13.4,94,0.6,南南東,0.0,,--,--,,,12.4
9,981.8,1006.9,--,13.7,11.4,13.5,86,0.6,西南西,0.0,,--,--,,,20.0
10,981.3,1006.2,--,15.6,11.8,13.8,78,1.1,北東,0.4,,--,--,,,20.0
11,980.7,1005.5,--,17.0,12.8,14.7,76,1.5,北,1.0,,--,--,,,20.0
12,979.5,1004.1,--,18.7,12.7,14.7,68,1.8,北,1.0,,--,--,,,20.0
13,978.7,1003.1,--,20.4,12.1,14.1,59,2.5,北,1.0,,--,--,,,20.0
14,978.2,1002.6,--,20.6,12.1,14.1,58,4.3,北西,0.2,,--,--,,,20.0
15,978.1,1002.5,--,20.3,11.8,13.8,58,3.6,北西,0.4,,--,--,,,20.0
16,978.2,1002.6,--,20.3,11.5,13.6,57,4.8,北西,0.5,,--,--,,,20.0
17,979.0,1003.6,--,18.6,11.4,13.5,63,5.8,北西,0.2,,--,--,,,20.0
18,979.7,1004.4,--,16.9,10.5,12.7,66,5.3,北西,0.1,,--,--,,,20.0
19,980.6,1005.5,--,16.0,9.4,11.8,65,6.4,西北西,0.0,,--,--,,,20.0
20,981.6,1006.6,--,14.5,9.3,11.7,71,4.9,北西,,,--,--,,,20.0
21,982.0,1007.1,--,14.3,9.5,11.9,73,3.1,西北西,,,--,--,,,20.0
22,981.7,1006.8,0.0,13.3,10.5,12.7,83,3.6,北西,,,--,--,,,15.1
23,981.9,1007.1,0.0,12.8,10.9,13.0,88,2.8,北北西,,,--,--,,,10.4
24,982.1,1007.4,0.5,12.3,10.7,12.9,90,2.0,北,,,--,--,,,20.0
