0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,984.1,1009.5,--,11.2,5.3,8.9,67,1.1,東,,,--,--,,,20.0
2,984.0,1009.6,--,9.7,5.1,8.8,73,0.3,北東,,,--,--,,,20.0
3,983.7,1009.4,--,8.6,4.6,8.5,76,1.7,南東,,,--,--,,,20.0
4,984.2,1009.9,--,8.2,5.0,8.7,80,1.2,南西,,,--,--,,,20.0
5,984.4,1010.1,--,8.2,4.6,8.5,78,2.0,西南西,,,--,--,,,20.0
6,985.1,1010.9,--,7.8,4.4,8.4,79,1.0,北北東,0.2,,--,--,,,20.0
7,985.3,1010.7,--,11.5,5.4,9.0,66,1.3,北東,1.0,,--,--,,,20.0
8,985.2,1010.4,--,14.1,6.7,9.8,61,1.6,北東,1.0,,--,--,,,20.0
9,985.0,1009.9,--,17.0,4.4,8.3,43,3.7,西北西,1.0,,--,--,,,20.0
10,984.9,1009.6,--,18.3,3.4,7.8,37,5.2,北西,1.0,,--,--,,,20.0
11,984.9,1009.7,--,17.7,4.3,8.3,41,6.6,北北西,0.6,,--,--,,,20.0
12,985.0,1009.8,--,17.9,5.5,9.0,44,8.3,北西,0.4,,--,--,,,20.0
13,985.4,1010.3,--,16.5,5.8,9.2,49,6.0,北西,0.1,,--,--,,,20.0
14,985.5,1010.5,--,15.8,7.1,10.1,56,5.6,北西,0.0,,--,--,,,19.6
15,986.0,1011.1,--,14.9,7.0,10.0,59,4.2,北北西,0.0,,--,--,,,20.0
16,986.8,1011.9,--,14.6,6.2,9.5,57,4.2,北西,0.0,,--,--,,,20.0
17,988.1,1013.5,--,12.8,5.2,8.9,60,6.5,北北西,0.0,,--,--,,,20.0
18,987.8,1013.2,--,12.3,4.8,8.6,60,1.4,北北西,0.0,,--,--,,,20.0
19,988.4,1013.8,--,12.5,3.7,8.0,55,4.0,西北西,0.0,,--,--,,,20.0
20,989.3,1014.8,--,12.1,4.1,8.2,58,2.3,西北西,,,--,--,,,20.0
21,990.1,1015.6,--,11.4,4.2,8.2,61,0.5,北西,,,--,--,,,20.0
22,990.4,1016.0,--,10.7,4.0,8.1,63,1.6,北,,,--,--,,,20.0
23,990.6,1016.3,--,9.9,5.1,8.8,72,2.8,北,,,--,--,,,20.0
24,990.7,1016.5,--,9.3,5.3,8.9,76,2.1,北,,,--,--,,,20.0
