0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,1003.8,1030.4,--,4.1,2.6,7.4,90,0.8,西,,,--,--,,,9.85
2,1003.2,1029.9,--,3.4,2.2,7.2,92,1.2,西南西,,,--,--,,,9.18
3,1002.8,1029.5,--,2.7,1.8,7.0,94,1.6,南南西,,,--,--,,,8.2
4,1002.2,1029.0,--,2.1,1.4,6.8,95,1.1,南南西,,,--,--,,,6.81
5,1001.9,1028.7,--,2.1,1.7,6.9,97,1.6,南南東,,,--,--,,,7.72
6,1001.9,1028.7,--,1.7,1.3,6.7,97,1.6,南南東,,,--,--,×,,8.93
7,1002.1,1028.8,--,2.5,1.8,6.9,95,0.5,南東,0.3,,--,--,,,11.5
8,1001.4,1027.9,--,4.7,2.9,7.5,88,1.8,北北東,1.0,,--,--,,,14.1
9,1000.7,1026.9,--,7.6,4.0,8.1,78,0.6,南西,1.0,,--,--,,,18.4
10,999.3,1025.2,--,10.7,5.1,8.7,68,1.2,西北西,1.0,,--,--,,,15.2
11,998.1,1023.7,--,13.4,6.3,9.5,62,0.9,西北西,1.0,,--,--,,,20.0
12,996.7,1022.1,--,15.1,6.7,9.8,57,1.4,北西,1.0,,--,--,,,20.0
13,995.0,1020.2,--,16.3,6.7,9.8,53,1.1,西北西,1.0,,--,--,,,20.0
14,994.2,1019.3,--,17.3,7.6,10.5,53,2.6,南西,0.9,,--,--,,,20.0
15,994.7,1019.8,--,17.1,7.7,10.5,54,2.1,南西,0.1,,--,--,,,19.1
16,994.7,1019.8,--,16.8,7.5,10.3,54,1.2,南南西,0.0,,--,--,,,20.0
17,994.3,1019.5,--,15.9,8.4,11.0,61,1.5,南,0.0,,--,--,,,20.0
18,994.4,1019.9,--,13.1,8.4,11.0,73,2.5,西南西,0.0,,--,--,,,17.9
19,994.8,1020.3,--,12.8,8.7,11.2,76,0.6,北北西,,,--,--,,,13.8
20,994.5,1020.2,--,11.2,7.1,10.1,76,1.7,西北西,,,--,--,,,18.3
21,994.9,1020.7,--,10.4,6.9,10.0,79,1.5,西,,,--,--,,,15.7
22,994.7,1020.6,--,9.3,6.4,9.6,82,0.7,西南西,,,--,--,,,14.9
23,994.6,1020.5,--,9.0,5.8,9.2,80,2.1,北,,,--,--,,,16.5
24,995.1,1021.0,--,8.7,5.8,9.2,82,0.7,北北西,,,--,--,,,17.7
