0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,1000.1,1026.8,--,2.4,-1.4,5.5,76,0.8,南南西,,,--,--,,,20.0
2,1000.2,1027.0,--,1.7,-1.0,5.7,82,0.8,西,,,--,--,,,20.0
3,999.8,1026.6,--,1.4,-1.3,5.5,82,0.8,北北西,,,--,--,,,20.0
4,999.9,1026.7,--,1.0,-1.6,5.5,83,0.7,西,,,--,--,,,20.0
5,1000.3,1027.3,--,-0.1,-1.8,5.3,88,0.5,西南西,,,--,--,,,20.0
6,1000.5,1027.5,--,-0.6,-1.9,5.3,91,0.2,静穏,0.0,,--,--,,,20.0
7,1000.9,1027.8,--,0.3,-1.8,5.4,86,0.1,静穏,0.6,,--,--,,,13.0
8,1001.0,1027.8,--,2.0,-2.1,5.2,74,0.6,東南東,1.0,,--,--,,,20.0
9,1001.0,1027.6,--,3.5,-1.6,5.4,69,0.6,南南西,0.9,,--,--,,,20.0
10,1000.0,1026.4,--,5.4,-0.8,5.7,64,1.3,西北西,0.7,,--,--,,,20.0
11,998.9,1025.1,--,7.4,-2.3,5.1,50,1.0,北,0.7,,--,--,,,20.0
12,997.9,1024.0,--,7.7,-4.7,4.3,41,2.9,北北西,0.7,,--,--,,,20.0
13,997.8,1023.9,--,8.1,-3.4,4.8,44,3.2,北西,0.0,,--,--,,,20.0
14,997.3,1023.3,--,8.4,-3.1,4.9,44,3.2,北,0.0,,--,--,,,20.0
15,997.1,1023.1,--,8.3,-3.2,4.8,44,2.2,北北西,0.0,,--,--,,,20.0
16,996.1,1022.1,--,8.3,-2.6,5.0,46,2.1,北西,0.2,,--,--,,,20.0
17,996.0,1022.0,--,8.0,-2.0,5.3,49,2.4,東北東,0.0,,--,--,,,20.0
18,995.5,1021.6,--,7.2,-0.3,6.0,59,2.3,東,0.0,,--,--,,,20.0
19,995.3,1021.5,--,6.6,-0.1,6.0,62,2.1,東南東,,,--,--,,,20.0
20,995.5,1021.7,--,5.9,0.1,6.1,66,1.9,南,,,--,--,,,20.0
21,996.4,1022.7,--,5.1,0.1,6.1,70,1.4,北西,,,--,--,,,20.0
22,996.1,1022.4,--,4.9,0.3,6.2,72,1.2,西,,,--,--,,,20.0
23,995.4,1021.7,0.0,4.8,1.1,6.6,77,0.6,北,,,--,--,,,20.0
24,994.7,1021.1,0.0,4.2,1.7,6.9,84,0.5,西,,,--,--,,,20.0
