0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,990.6,1016.8,--,5.2,3.1,7.6,86,1.8,南南東,,,--,--,,,20.0
2,990.9,1017.1,--,4.9,2.9,7.5,87,0.7,南南東,,,--,--,,,20.0
3,991.2,1017.5,--,4.1,2.6,7.4,90,1.0,東,,,--,--,,,20.0
4,991.6,1017.9,--,3.7,2.5,7.3,92,1.6,南南西,,,--,--,,,20.0
5,992.3,1018.6,--,4.5,2.7,7.4,88,1.0,北東,,,--,--,,,20.0
6,993.1,1019.5,--,3.8,2.3,7.2,90,0.9,西北西,0.0,,--,--,,,20.0
7,993.5,1019.6,--,6.3,3.3,7.7,81,1.0,南南東,0.8,,--,--,,,20.0
8,994.1,1019.9,--,9.8,4.8,8.6,71,1.8,北北東,0.9,,--,--,,,20.0
9,995.2,1021.1,0.0,9.3,6.4,9.6,82,2.7,北北東,0.2,,--,--,,,20.0
10,995.1,1020.8,0.0,11.5,6.6,9.8,72,4.0,北北西,0.1,,--,--,,,20.0
11,994.8,1020.2,--,14.2,5.6,9.1,56,5.0,北西,0.8,,--,--,,,20.0
12,994.5,1019.8,--,14.7,4.1,8.2,49,3.7,北北西,0.6,,--,--,,,20.0
13,994.3,1019.6,--,15.4,4.8,8.6,49,5.0,北西,0.6,,--,--,,,20.0
14,993.8,1019.0,--,15.8,2.9,7.5,42,5.8,北西,0.8,,--,--,,,20.0
15,993.6,1018.8,--,16.0,2.4,7.3,40,4.5,北,1.0,,--,--,,,20.0
16,993.3,1018.5,--,16.2,2.2,7.2,39,4.3,北,1.0,,--,--,,,20.0
17,993.7,1018.9,--,15.4,1.5,6.8,39,2.9,北,0.9,,--,--,,,20.0
18,994.6,1020.0,--,14.4,2.3,7.2,44,1.7,北,0.0,,--,--,,,20.0
19,995.3,1020.9,--,12.1,3.4,7.8,55,1.5,南南東,0.0,,--,--,,,20.0
20,996.0,1021.8,--,10.3,4.0,8.1,65,1.6,南南東,,,--,--,,,20.0
21,996.3,1022.2,--,9.8,4.4,8.4,69,0.7,北西,,,--,--,,,20.0
22,996.3,1022.2,--,9.2,4.4,8.4,72,0.3,南,,,--,--,,,20.0
23,996.1,1022.1,--,8.0,4.0,8.2,76,1.1,西南西,,,--,--,,,20.0
24,995.8,1021.9,--,7.5,3.9,8.1,78,1.2,南,,,--,--,,,20.0
