0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,999.6,1025.9,--,6.4,4.6,8.5,88,0.4,南,,,--,--,,,20.0
2,999.2,1025.4,--,6.8,4.8,8.6,87,0.9,南,,,--,--,,,19.5
3,999.2,1025.4,--,6.8,5.0,8.7,88,1.0,南南東,,,--,--,,,20.0
4,999.2,1025.5,--,5.9,4.4,8.4,90,0.3,東北東,,,--,--,,,18.9
5,998.8,1025.1,--,6.1,4.6,8.5,90,0.6,南南東,,,--,--,,,20.0
6,999.1,1025.3,--,6.7,4.7,8.5,87,0.6,北,0.0,,--,--,,,20.0
7,998.6,1024.7,--,8.2,5.5,9.0,83,0.4,西南西,0.6,,--,--,,,20.0
8,998.1,1023.9,--,10.5,6.3,9.5,75,1.3,北西,0.9,,--,--,,,19.4
9,997.4,1023.0,--,12.8,6.8,9.9,67,1.1,北北西,1.0,,--,--,,,17.1
10,996.6,1022.0,--,15.1,7.7,10.5,61,0.9,東北東,1.0,,--,--,,,20.0
11,995.2,1020.3,--,17.0,7.6,10.5,54,1.1,北北東,0.7,,--,--,,,20.0
12,994.0,1018.7,--,20.7,8.4,11.0,45,1.6,西北西,1.0,,--,--,,,20.0
13,993.0,1017.6,--,21.4,6.1,9.4,37,1.9,北東,0.7,,--,--,,,20.0
14,991.8,1016.4,--,22.0,5.9,9.3,35,1.9,東北東,0.2,,--,--,,,20.0
15,991.2,1015.7,--,22.1,5.5,9.0,34,1.3,南南東,0.1,,--,--,,,20.0
16,990.5,1015.1,--,21.7,7.9,10.6,41,4.1,南,0.5,,--,--,,,20.0
17,990.7,1015.4,--,20.3,8.3,11.0,46,4.5,南,0.0,,--,--,,,20.0
18,991.0,1015.8,--,18.9,8.8,11.4,52,3.8,南南西,0.0,,--,--,,,20.0
19,991.5,1016.4,--,18.3,8.6,11.1,53,2.9,南南西,0.0,,--,--,,,20.0
20,991.7,1016.7,--,17.6,8.7,11.3,56,1.3,南南西,,,--,--,,,20.0
21,991.7,1016.8,--,16.3,8.3,10.9,59,1.1,南南西,,,--,--,,,20.0
22,991.1,1016.2,--,15.9,8.9,11.4,63,2.3,南東,,,--,--,,,20.0
23,990.1,1015.3,--,15.4,9.1,11.5,66,1.8,南南東,,,--,--,,,20.0
24,989.0,1014.2,--,14.8,9.0,11.4,68,1.0,東南東,,,--,--,,,20.0
