0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,987.9,1013.1,--,14.6,9.2,11.6,70,0.8,北西,,,--,--,,,20.0
2,986.8,1012.1,--,13.2,9.5,11.8,78,0.7,南南東,,,--,--,,,20.0
3,985.9,1011.2,--,12.9,9.4,11.8,79,1.2,北西,,,--,--,,,20.0
4,985.5,1010.8,--,12.7,9.4,11.7,80,0.8,南西,,,--,--,,,20.0
5,985.3,1010.6,0.0,12.5,9.9,12.2,84,0.4,南南西,,,--,--,,,18.2
6,985.5,1010.9,1.0,12.0,10.6,12.8,91,0.6,西,0.0,,--,--,,,4.59
7,984.8,1010.2,2.0,11.4,11.0,13.1,97,1.3,西,0.0,,--,--,,,3.69
8,984.1,1009.5,2.0,11.7,11.2,13.3,97,0.7,北北西,0.0,,--,--,,,4.14
9,983.3,1008.6,0.5,11.9,11.3,13.4,96,0.1,静穏,0.0,,--,--,,,7.17
10,982.9,1008.2,3.0,12.0,11.5,13.6,97,0.6,南西,0.0,,--,--,,,2.97
11,982.2,1007.4,5.5,12.4,11.9,14.0,97,0.9,西,0.0,,--,--,,,4.73
12,980.9,1006.1,0.0,12.3,11.4,13.4,94,3.2,北東,0.0,,--,--,,,20.0
13,981.1,1006.4,--,11.7,8.9,11.4,83,5.2,北西,0.0,,--,--,,,20.0
14,981.2,1006.6,--,10.9,8.5,11.1,85,3.6,北北東,0.0,,--,--,,,20.0
15,981.5,1006.8,--,11.4,7.5,10.4,77,3.3,北西,0.0,,--,--,,,20.0
16,982.5,1007.9,--,11.3,7.2,10.2,76,3.3,北西,0.0,,--,--,,,20.0
17,983.2,1008.7,--,10.5,6.7,9.8,77,2.5,北北東,0.0,,--,--,,,20.0
18,984.0,1009.6,--,9.7,6.6,9.7,81,3.3,北北東,0.0,,--,--,,,20.0
19,984.8,1010.5,0.0,8.5,6.0,9.3,84,4.3,北西,0.0,,--,--,,,20.0
20,985.5,1011.2,0.0,8.4,5.5,9.0,82,2.9,北,,,--,--,,,20.0
21,986.2,1012.0,--,8.1,5.4,9.0,83,1.5,北西,,,--,--,,,20.0
22,986.5,1012.3,--,7.4,5.2,8.9,86,2.6,北,,,--,--,,,20.0
23,986.6,1012.4,--,7.4,4.7,8.5,83,2.6,北北東,,,--,--,,,20.0
24,986.7,1012.6,--,7.3,3.7,8.0,78,2.2,北東,,,--,--,,,20.0
